# t p0=0.20 p0=0.45 p0=0.66 p0=0.75 p0=0.85
1.420000 0.051921 0.266875 0.668844 0.812676 0.916916
1.430000 0.051335 0.265375 0.668928 0.813171 0.917322
1.440000 0.050754 0.263875 0.669012 0.813667 0.917727
1.450000 0.050180 0.262375 0.669096 0.814164 0.918130
1.460000 0.049611 0.260875 0.669181 0.814661 0.918533
1.470000 0.049047 0.259374 0.669266 0.815158 0.918934
1.480000 0.048490 0.257873 0.669352 0.815656 0.919334
1.490000 0.047937 0.256372 0.669438 0.816155 0.919733
1.500000 0.047390 0.254871 0.669524 0.816653 0.920131
1.510000 0.046849 0.253371 0.669610 0.817153 0.920527
1.520000 0.046313 0.251870 0.669697 0.817652 0.920922
1.530000 0.045783 0.250370 0.669785 0.818153 0.921316
1.540000 0.045257 0.248870 0.669872 0.818653 0.921709
1.550000 0.044737 0.247370 0.669960 0.819154 0.922101
1.560000 0.044223 0.245872 0.670049 0.819655 0.922491
1.570000 0.043713 0.244373 0.670138 0.820157 0.922880
1.580000 0.043209 0.242876 0.670227 0.820659 0.923268
1.590000 0.042710 0.241379 0.670317 0.821162 0.923654
1.600000 0.042216 0.239883 0.670407 0.821665 0.924040
1.610000 0.041727 0.238387 0.670497 0.822168 0.924424
1.620000 0.041243 0.236893 0.670588 0.822672 0.924807
1.630000 0.040764 0.235400 0.670679 0.823176 0.925188
1.640000 0.040290 0.233908 0.670770 0.823680 0.925568
1.650000 0.039821 0.232418 0.670862 0.824185 0.925948
1.660000 0.039357 0.230929 0.670955 0.824690 0.926325
1.670000 0.038897 0.229441 0.671047 0.825195 0.926702
1.680000 0.038443 0.227954 0.671140 0.825700 0.927077
1.690000 0.037993 0.226470 0.671234 0.826206 0.927451
1.700000 0.037548 0.224987 0.671328 0.826712 0.927824
1.710000 0.037108 0.223505 0.671422 0.827219 0.928195
1.720000 0.036672 0.222026 0.671517 0.827726 0.928566
1.730000 0.036241 0.220549 0.671612 0.828233 0.928934
1.740000 0.035815 0.219073 0.671708 0.828740 0.929302
1.750000 0.035393 0.217600 0.671804 0.829247 0.929668
1.760000 0.034975 0.216128 0.671900 0.829755 0.930034
1.770000 0.034562 0.214659 0.671997 0.830263 0.930397
1.780000 0.034154 0.213193 0.672094 0.830771 0.930760
1.790000 0.033750 0.211729 0.672191 0.831280 0.931121
1.800000 0.033350 0.210267 0.672289 0.831788 0.931481
1.810000 0.032954 0.208808 0.672388 0.832297 0.931840
1.820000 0.032563 0.207351 0.672487 0.832806 0.932197
